data utc tins tmax tmin urins urmax urmin tdins tdmax tdmin presins presmax presmin vel dir raj rad prec
05/01/2019 2100 28,9 29,6 28,6 65,0 67,0 62,0 21,7 22,1 21,0 995,3 997,6 995,3 2,6 97,0 6,3 1608,87 0,0
05/01/2019 2200 27,4 28,9 27,4 69,0 69,0 64,0 21,3 21,8 21,2 990,0 995,6 990,0 2,8 101,0 6,1 620,00 0,0
05/01/2019 2300 25,7 27,4 25,7 77,0 77,0 69,0 21,3 21,5 21,2 987,5 990,0 987,4 2,0 82,0 6,4 53,57 0,0
06/01/2019 0000 25,1 25,7 25,0 78,0 79,0 77,0 20,9 21,4 20,9 988,4 988,4 987,1 3,0 86,0 6,1 0,0 0,0
06/01/2019 0100 24,4 25,1 24,3 81,0 81,0 77,0 20,9 21,0 20,8 990,8 990,8 988,4 2,7 91,0 7,1 0,0 0,0
06/01/2019 0200 23,9 24,4 23,9 83,0 83,0 81,0 20,8 21,0 20,8 992,4 992,4 990,8 2,8 89,0 7,6 0,0 0,0
06/01/2019 0300 23,3 24,0 23,3 86,0 86,0 83,0 20,8 20,8 20,7 992,6 992,8 992,4 2,4 89,0 8,1 0,0 0,0
06/01/2019 0400 22,8 23,3 22,8 89,0 89,0 86,0 20,8 20,9 20,7 992,7 992,9 992,6 1,9 84,0 5,8 0,0 0,0
06/01/2019 0500 22,6 22,9 22,4 90,0 91,0 89,0 21,0 21,0 20,7 992,9 993,0 992,7 1,3 104,0 4,3 0,0 0,0
06/01/2019 0600 22,3 22,7 22,1 92,0 92,0 90,0 20,9 21,0 20,7 993,1 993,3 992,9 1,6 118,0 3,6 0,0 0,0
06/01/2019 0700 22,2 22,5 22,2 92,0 92,0 91,0 21,0 21,1 20,9 993,9 993,9 993,1 1,8 114,0 4,5 0,0 0,0
06/01/2019 0800 21,9 22,3 21,9 93,0 93,0 92,0 20,8 20,9 20,8 993,9 994,2 993,8 1,6 126,0 4,0 0,0 0,0
06/01/2019 0900 21,9 21,9 21,7 93,0 94,0 93,0 20,8 20,8 20,7 994,4 994,4 994,0 1,6 99,0 4,6 4,38 0,0
06/01/2019 1000 23,1 23,1 21,9 89,0 93,0 88,0 21,2 21,2 20,7 1000,6 1000,6 994,4 2,0 89,0 4,2 232,00 0,0
06/01/2019 1100 25,4 25,5 23,1 82,0 89,0 81,0 22,1 22,4 21,0 1005,2 1005,2 1000,6 1,6 74,0 4,5 873,51 0,0
06/01/2019 1200 27,5 28,1 25,3 76,0 83,0 74,0 23,0 23,6 21,9 1006,5 1006,5 1005,2 1,7 67,0 4,1 1849,83 0,0
06/01/2019 1300 29,6 30,2 27,4 69,0 79,0 67,0 23,2 24,8 22,8 1004,0 1006,7 1003,9 1,2 32,0 4,5 2643,02 0,0
06/01/2019 1400 29,2 30,2 28,4 77,0 78,0 68,0 24,8 25,0 22,8 999,4 1004,5 999,4 0,9 355,0 4,1 1665,47 0,0
06/01/2019 1500 31,5 31,5 29,0 64,0 79,0 64,0 23,9 25,7 23,4 998,1 999,7 997,0 1,3 30,0 4,3 1921,11 0,0
06/01/2019 1600 29,7 32,0 28,1 70,0 83,0 63,0 23,6 25,7 23,2 995,3 999,7 995,3 1,9 14,0 7,4 2574,28 0,0
06/01/2019 1700 26,5 29,6 23,2 86,0 93,0 67,0 24,0 24,6 21,0 983,8 995,3 980,6 1,5 352,0 11,5 1040,55 5,2
06/01/2019 1800 28,0 28,2 26,5 80,0 87,0 77,0 24,2 25,0 23,7 992,3 992,3 983,8 1,3 29,0 4,7 1211,65 0,0
06/01/2019 1900 26,2 28,0 26,2 85,0 88,0 79,0 23,5 24,4 23,5 987,2 992,6 987,2 1,7 40,0 4,2 206,93 0,0
06/01/2019 2000 23,4 26,2 23,4 91,0 91,0 85,0 21,9 23,7 21,8 985,3 987,2 985,3 2,2 277,0 7,2 78,33 0,8
06/01/2019 2100 23,9 24,1 23,0 93,0 94,0 91,0 22,8 23,0 21,8 986,5 986,5 983,8 1,3 28,0 4,9 233,44 2,6
06/01/2019 2200 25,1 25,1 23,9 89,0 93,0 88,0 23,1 23,1 22,5 989,8 989,8 986,5 1,7 38,0 4,7 235,21 0,0
06/01/2019 2300 24,4 25,2 24,4 93,0 93,0 88,0 23,1 23,1 22,9 988,9 990,2 988,8 2,3 43,0 6,0 45,93 0,0
07/01/2019 0000 24,5 24,5 24,3 91,0 93,0 91,0 22,8 23,1 22,8 988,9 989,1 988,7 3,2 42,0 7,8 0,0 0,0
07/01/2019 0100 24,4 24,5 24,3 87,0 90,0 87,0 22,1 22,8 22,1 988,9 989,3 988,8 2,0 38,0 8,4 0,0 0,0
